Product_Name,Category,Sub_Category,Inventory_Days,Profit,Action_Recommended
Bush Somerset Collection Bookcase,Furniture,Bookcases,0.22904260935586418,41.9136,No Action Needed
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,0.12296089803111436,219.582,No Action Needed
Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,4.103967199140656,6.8714,No Action Needed
Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,0.15664528219698026,-383.031,No Action Needed
Eldon Fold 'N Roll Cart System,Office Supplies,Storage,2.6824034298787507,2.5164,No Action Needed
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,4.297994215682021,14.1694,Run Clearance Promotions
Newell 322,Office Supplies,Art,16.483516008030445,1.9656,Bundle Promotions
Mitel 5320 IP Phone VoIP phone,Technology,Phones,0.19842320191602072,90.7152,Run Clearance Promotions
DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,4.863813305799064,5.7825,No Action Needed
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,1.3054830116777674,34.47,No Action Needed
Chromcraft Rectangular Conference Tables,Furniture,Tables,0.15824788318839897,85.3092,Run Clearance Promotions
Konftel 250 Conference phone - Charcoal black,Technology,Phones,0.13166210076252596,68.3568,No Action Needed
Xerox 1967,Office Supplies,Paper,5.787037018431594,5.4432,No Action Needed
Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,0.2206012046984727,132.5922,No Action Needed
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,2.1799157872256143,-123.858,No Action Needed
Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,35.37735974212357,-3.816,Phase Out (with Discounting)
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,0.270318974402951,13.3176,Run Clearance Promotions
Fellowes Super Stor/Drawer,Office Supplies,Storage,1.0810810810810811,9.99,No Action Needed
Newell 341,Office Supplies,Art,7.009345450476041,2.4824,No Action Needed
Cisco SPA 501G IP Phone,Technology,Phones,0.42158516869409884,16.011,No Action Needed
"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,5.281690301248517,7.384,No Action Needed
Newell 318,Office Supplies,Art,10.79136741665252,5.0596,Bundle Promotions
"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,3.480278413622112,15.6884,Run Clearance Promotions
"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,0.8406657878846249,-1.0196,No Action Needed
Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,0.08615490610955599,240.2649,No Action Needed
Wilson Jones Active Use Binders,Office Supplies,Binders,5.151099007234183,4.2224,No Action Needed
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,0.9937065287407422,11.7741,No Action Needed
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,0.06810597439578854,-1665.052,Liquidate Inventory
Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,6.238303161427802,-7.0532,No Action Needed
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,0.7246376992461906,15.525,No Action Needed
Poly String Tie Envelopes,Office Supplies,Envelopes,18.382353284719226,1.1016,Bundle Promotions
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,2.085650702484206,9.7092,Run Clearance Promotions
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,26.2467199178843,-5.715,Phase Out (with Discounting)
Lumber Crayons,Office Supplies,Art,3.807106543424207,3.546,No Action Needed
Easy-staple paper,Office Supplies,Paper,3.053745915904943,9.9468,No Action Needed
GE 30524EE4,Technology,Phones,0.19133630225621628,123.4737,Run Clearance Promotions
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,0.7856693977278698,-147.963,No Action Needed
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,2.3824649962132174,35.415,Run Clearance Promotions
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,0.1690460937737837,-46.9764,No Action Needed
"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,0.42441219171988726,-15.147,No Action Needed
Plantronics HL10 Handset Lifter,Technology,Phones,0.32330373369016885,41.7564,No Action Needed
Panasonic Kx-TS550,Technology,Phones,0.8153946548894887,16.5564,No Action Needed
"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,0.7704160518572694,3.894,No Action Needed
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,0.6275100578146132,9.5616,No Action Needed
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,1.3049151935680945,19.7714,No Action Needed
Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,3.436426297910206,8.2062,No Action Needed
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,0.5661445376808435,8.4784,No Action Needed
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,2.0,4.95,No Action Needed
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,2.752293673933174,6.104,No Action Needed
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,4.709575987815732,17.9634,Run Clearance Promotions
Avery 485,Office Supplies,Labels,2.3942537810292808,35.3346,Run Clearance Promotions
Longer-Life Soft White Bulbs,Furniture,Furnishings,9.740259982185028,2.9568,No Action Needed
"Global Leather Task Chair, Black",Furniture,Chairs,0.33337038241374173,17.0981,No Action Needed
Advantus Push Pins,Office Supplies,Fasteners,13.761467682494262,6.2566,Bundle Promotions
AT&T CL83451 4-Handset Telephone,Technology,Phones,0.14563814470243128,298.6855,No Action Needed
Home/Office Personal File Carts,Office Supplies,Storage,0.8630609995749252,52.14,Run Clearance Promotions
